index,im_loc,mos
0,voc_emotic_ava/EMOTIC__COCO_train2014_000000485267.jpg,68.4453125
1,voc_emotic_ava/AVA__344345.jpg,86.99535369873047
2,voc_emotic_ava/VOC2012__2008_004497.jpg,73.64376831054688
3,voc_emotic_ava/VOC2012__2012_002589.jpg,70.19815826416016
4,voc_emotic_ava/JPEGImages__2008_004549.jpg,72.80769348144531
5,voc_emotic_ava/AVA__666519.jpg,66.9411392211914
6,voc_emotic_ava/AVA__591695.jpg,73.38641357421875
7,voc_emotic_ava/VOC2012__2009_004896.jpg,71.77281188964844
8,voc_emotic_ava/VOC2012__2010_005249.jpg,79.63685607910156
9,voc_emotic_ava/AVA__38625.jpg,74.37540435791016
10,voc_emotic_ava/JPEGImages__2012_001023.jpg,74.91246795654297
11,voc_emotic_ava/AVA__48933.jpg,68.30622863769531
12,voc_emotic_ava/AVA__738034.jpg,75.58169555664062
13,voc_emotic_ava/VOC2012__2012_000784.jpg,65.00975036621094
14,voc_emotic_ava/EMOTIC__COCO_train2014_000000402384.jpg,59.72720718383789
15,voc_emotic_ava/EMOTIC__COCO_train2014_000000539476.jpg,78.12831115722656
16,voc_emotic_ava/JPEGImages__2010_002978.jpg,74.02513885498047
17,voc_emotic_ava/EMOTIC__COCO_train2014_000000280805.jpg,74.56990051269531
18,voc_emotic_ava/EMOTIC__1oxtnlhqcthrbf8gah.jpg,74.68112182617188
19,voc_emotic_ava/AVA__283354.jpg,73.93744659423828
20,voc_emotic_ava/AVA__119795.jpg,73.37334442138672
21,voc_emotic_ava/EMOTIC__COCO_train2014_000000242631.jpg,76.68524169921875
22,voc_emotic_ava/VOC2012__2011_003199.jpg,75.88360595703125
23,voc_emotic_ava/JPEGImages__2012_004112.jpg,64.65912628173828
24,voc_emotic_ava/VOC2012__2012_002747.jpg,79.80591583251953
25,voc_emotic_ava/EMOTIC__COCO_train2014_000000177845.jpg,78.85566711425781
26,voc_emotic_ava/EMOTIC__COCO_train2014_000000570801.jpg,76.29637145996094
27,voc_emotic_ava/JPEGImages__2011_000058.jpg,72.9919204711914
28,voc_emotic_ava/EMOTIC__COCO_train2014_000000121943.jpg,78.40741729736328
29,voc_emotic_ava/EMOTIC__COCO_train2014_000000228659.jpg,77.79956817626953
30,voc_emotic_ava/JPEGImages__2010_001066.jpg,68.2062759399414
31,voc_emotic_ava/EMOTIC__COCO_train2014_000000523641.jpg,73.9503402709961
32,voc_emotic_ava/VOC2012__2011_002891.jpg,71.98719787597656
33,voc_emotic_ava/EMOTIC__COCO_val2014_000000472054.jpg,73.12918853759766
34,voc_emotic_ava/JPEGImages__2009_002777.jpg,74.91546630859375
35,voc_emotic_ava/JPEGImages__2010_005849.jpg,74.0508804321289
36,voc_emotic_ava/AVA__462100.jpg,66.76892852783203
37,voc_emotic_ava/JPEGImages__2008_004460.jpg,73.93731689453125
38,voc_emotic_ava/VOC2012__2008_008339.jpg,83.8286361694336
39,voc_emotic_ava/EMOTIC__COCO_val2014_000000185201.jpg,65.66841888427734
40,blur_dataset/out_of_focus0520.jpg,77.96886444091797
41,voc_emotic_ava/VOC2012__2010_006807.jpg,64.8512191772461
42,voc_emotic_ava/EMOTIC__sun_afkzndehpwgjdxcc.jpg,67.45352935791016
43,voc_emotic_ava/JPEGImages__2010_000379.jpg,64.08660125732422
44,voc_emotic_ava/VOC2012__2009_003990.jpg,71.4145278930664
45,voc_emotic_ava/JPEGImages__2011_004495.jpg,71.40410614013672
46,blur_dataset/motion0141.jpg,46.73383712768555
47,voc_emotic_ava/EMOTIC__COCO_train2014_000000366040.jpg,70.40931701660156
48,voc_emotic_ava/AVA__764251.jpg,72.7635498046875
49,voc_emotic_ava/JPEGImages__2007_005803.jpg,62.089534759521484
50,voc_emotic_ava/JPEGImages__2010_000712.jpg,81.35145568847656
51,voc_emotic_ava/EMOTIC__COCO_val2014_000000531512.jpg,75.98643493652344
52,voc_emotic_ava/AVA__645407.jpg,76.8782958984375
53,voc_emotic_ava/VOC2012__2009_001780.jpg,70.87201690673828
54,voc_emotic_ava/EMOTIC__COCO_train2014_000000040987.jpg,79.91075134277344
55,voc_emotic_ava/JPEGImages__2009_005160.jpg,77.02283477783203
56,voc_emotic_ava/JPEGImages__2009_004817.jpg,76.47696685791016
57,voc_emotic_ava/VOC2012__2010_002572.jpg,74.39530944824219
58,voc_emotic_ava/EMOTIC__COCO_train2014_000000194943.jpg,69.01828002929688
59,voc_emotic_ava/JPEGImages__2011_000823.jpg,77.02376556396484
60,voc_emotic_ava/VOC2012__2008_007087.jpg,80.89859771728516
61,voc_emotic_ava/EMOTIC__COCO_train2014_000000092696.jpg,74.35770416259766
62,voc_emotic_ava/JPEGImages__2011_000382.jpg,65.55125427246094
63,voc_emotic_ava/AVA__356576.jpg,72.7886734008789
64,voc_emotic_ava/EMOTIC__COCO_train2014_000000492550.jpg,74.36408233642578
65,blur_dataset/out_of_focus0120.jpg,69.42108154296875
66,voc_emotic_ava/JPEGImages__2010_000984.jpg,73.97201538085938
67,voc_emotic_ava/JPEGImages__2009_000734.jpg,71.95608520507812
68,voc_emotic_ava/EMOTIC__COCO_train2014_000000326350.jpg,72.02881622314453
69,voc_emotic_ava/JPEGImages__2011_005752.jpg,71.65985870361328
70,voc_emotic_ava/AVA__757584.jpg,68.61966705322266
71,voc_emotic_ava/EMOTIC__COCO_train2014_000000471572.jpg,74.62879180908203
72,voc_emotic_ava/JPEGImages__2010_005825.jpg,75.68621826171875
73,voc_emotic_ava/EMOTIC__COCO_train2014_000000449119.jpg,72.26253509521484
74,voc_emotic_ava/AVA__227579.jpg,69.98438262939453
75,voc_emotic_ava/AVA__277563.jpg,72.77786254882812
76,voc_emotic_ava/AVA__822671.jpg,45.7650032043457
77,voc_emotic_ava/AVA__390356.jpg,76.49848175048828
78,voc_emotic_ava/AVA__7361.jpg,74.32945251464844
79,voc_emotic_ava/AVA__913661.jpg,70.84561157226562
80,voc_emotic_ava/AVA__75752.jpg,75.38912963867188
81,voc_emotic_ava/EMOTIC__COCO_train2014_000000417219.jpg,78.64070129394531
82,voc_emotic_ava/EMOTIC__COCO_train2014_000000114249.jpg,75.28679656982422
83,voc_emotic_ava/JPEGImages__2012_003354.jpg,77.47605895996094
84,blur_dataset/out_of_focus0610.jpg,72.91284942626953
85,voc_emotic_ava/VOC2012__2010_002341.jpg,82.59860229492188
86,voc_emotic_ava/AVA__830633.jpg,79.06315612792969
87,voc_emotic_ava/JPEGImages__2010_000009.jpg,75.69332122802734
88,voc_emotic_ava/AVA__290810.jpg,73.29278564453125
89,voc_emotic_ava/VOC2012__2008_002303.jpg,76.79548645019531
90,voc_emotic_ava/EMOTIC__COCO_val2014_000000058006.jpg,70.21678161621094
91,voc_emotic_ava/AVA__38192.jpg,69.00068664550781
92,voc_emotic_ava/VOC2012__2011_006726.jpg,66.38951873779297
93,blur_dataset/out_of_focus0006.jpg,74.16600036621094
94,voc_emotic_ava/JPEGImages__2010_004059.jpg,75.27210998535156
95,voc_emotic_ava/VOC2012__2009_000390.jpg,72.13655853271484
96,voc_emotic_ava/AVA__82176.jpg,70.54584503173828
97,voc_emotic_ava/VOC2012__2010_005577.jpg,70.53106689453125
98,voc_emotic_ava/EMOTIC__COCO_val2014_000000077596.jpg,76.93572998046875
99,voc_emotic_ava/JPEGImages__2010_005211.jpg,70.41038513183594
100,voc_emotic_ava/VOC2012__2008_006958.jpg,67.08031463623047
101,voc_emotic_ava/VOC2012__2011_007098.jpg,64.49382781982422
